"","switch","type","value","optimise","random","lower","upper","parscale"
"ghl.rec.1983","ghl.rec.1983","",2369.85171194525,TRUE,FALSE,0.1,50000,49999.9
"ghl.rec.1984","ghl.rec.1984","",1475.42791293029,TRUE,FALSE,0.1,50000,49999.9
"ghl.rec.1985","ghl.rec.1985","",2223.89897034093,TRUE,FALSE,0.1,50000,49999.9
"ghl.rec.1986","ghl.rec.1986","",3857.11674510499,TRUE,FALSE,0.1,50000,49999.9
"ghl.rec.1987","ghl.rec.1987","",4647.8774259904,TRUE,FALSE,0.1,50000,49999.9
"ghl.rec.1988","ghl.rec.1988","",2891.9586808774,TRUE,FALSE,0.1,50000,49999.9
"ghl.rec.1989","ghl.rec.1989","",3148.04384716818,TRUE,FALSE,0.1,50000,49999.9
"ghl.rec.1990","ghl.rec.1990","",1731.34937852769,TRUE,FALSE,0.1,50000,49999.9
"ghl.rec.1991","ghl.rec.1991","",2689.07861864558,TRUE,FALSE,0.1,50000,49999.9
"ghl.rec.1992","ghl.rec.1992","",1671.25555565973,TRUE,FALSE,0.1,50000,49999.9
"ghl.rec.1993","ghl.rec.1993","",1968.8711575204,TRUE,FALSE,0.1,50000,49999.9
"ghl.rec.1994","ghl.rec.1994","",2648.38328999321,TRUE,FALSE,0.1,50000,49999.9
"ghl.rec.1995","ghl.rec.1995","",2701.49883764843,TRUE,FALSE,0.1,50000,49999.9
"ghl.rec.1996","ghl.rec.1996","",2300.22019752961,TRUE,FALSE,0.1,50000,49999.9
"ghl.rec.1997","ghl.rec.1997","",2149.94992533314,TRUE,FALSE,0.1,50000,49999.9
"ghl.rec.1998","ghl.rec.1998","",2616.2975779663,TRUE,FALSE,0.1,50000,49999.9
"ghl.rec.1999","ghl.rec.1999","",2918.16790571847,TRUE,FALSE,0.1,50000,49999.9
"ghl.rec.2000","ghl.rec.2000","",2840.6615923563,TRUE,FALSE,0.1,50000,49999.9
"ghl.rec.2001","ghl.rec.2001","",3637.54721349252,TRUE,FALSE,0.1,50000,49999.9
"ghl.rec.2002","ghl.rec.2002","",3390.25039691361,TRUE,FALSE,0.1,50000,49999.9
