age,stock,ms,ml
1,ghl_female_imm,1.9336062271607977,14.000000000074321
2,ghl_female_imm,2.0212858130391473,14.256348265714935
3,ghl_female_imm,2.92591318935937,19.744809507465295
4,ghl_female_imm,3.509137839364435,24.886341046890614
5,ghl_female_imm,3.925646752435186,29.69934760773922
6,ghl_female_imm,4.22757396543919,34.18990667686189
7,ghl_female_imm,4.436684089349502,38.35184039426966
8,ghl_female_imm,4.571383322453324,42.175332654653346
9,ghl_female_imm,4.659627316041212,45.67469839297615
10,ghl_female_imm,4.7232122677727375,48.89241027832425
11,ghl_female_imm,4.766743327039271,51.8748573305831
12,ghl_female_imm,4.788085764528455,54.65389361872906
13,ghl_female_imm,4.789887546625688,57.2501342122888
14,ghl_female_imm,4.780315651893099,59.68136305372804
15,ghl_female_imm,4.7676906067522955,61.96823073521101
16,ghl_female_imm,4.757021011022889,64.13253899670634
17,ghl_female_imm,4.749636579608469,66.19398149936694
18,ghl_female_imm,4.743988515404837,68.16833663396724
19,ghl_female_imm,4.736964299071449,70.06630879299496
20,ghl_female_imm,4.7250860339663925,71.89401744231095
3,ghl_female_mat,2.0741293916909505,24.44447662286233
4,ghl_female_mat,3.51806166634282,26.655990045910926
5,ghl_female_mat,3.9633508261916597,31.647122290590556
6,ghl_female_mat,4.285416286575562,36.3058310299142
7,ghl_female_mat,4.505407063186408,40.60939371077235
8,ghl_female_mat,4.6500672375331495,44.543452334451686
9,ghl_female_mat,4.753059234113366,48.13677635192826
10,ghl_female_mat,4.82833089356546,51.441148608756535
11,ghl_female_mat,4.874796038746935,54.49729227235446
12,ghl_female_mat,4.895003648008114,57.33022673258334
13,ghl_female_mat,4.898607050556416,59.96193561978754
14,ghl_female_mat,4.896056864936194,62.417207080749655
15,ghl_female_mat,4.893227501971843,64.72243086314192
16,ghl_female_mat,4.891074751938989,66.90122896433382
17,ghl_female_mat,4.8875527427234005,68.97178440148505
18,ghl_female_mat,4.879353128428719,70.94634457993602
19,ghl_female_mat,4.86341493329419,72.83179362882805
20,ghl_female_mat,4.837770749622449,74.63161444399347
21,ghl_female_mat,4.875779345688866,76.06404553442682
22,ghl_female_mat,4.819832802730207,77.75513953188785
23,ghl_female_mat,4.75542477497134,79.35214726852199
24,ghl_female_mat,4.6839215577857445,80.85820232173492
25,ghl_female_mat,5.219510140382751,84.87039172866716
1,ghl_male_imm,1.4561620221273153,14.000000000000004
2,ghl_male_imm,2.025323017317529,14.275516269820386
3,ghl_male_imm,3.302464742598306,20.166227478607325
4,ghl_male_imm,3.9846927762238855,25.384232781495157
5,ghl_male_imm,4.412674391092364,30.098108148819456
6,ghl_male_imm,4.68543619993896,34.36289364620342
7,ghl_male_imm,4.8496648803396445,38.226547208061824
8,ghl_male_imm,4.933431095823353,41.72153311121446
9,ghl_male_imm,4.9683146182986535,44.88290625444214
10,ghl_male_imm,4.98261036793017,47.7608647412642
11,ghl_male_imm,4.9840038561899895,50.409746849426696
12,ghl_male_imm,4.956064714969737,52.86665449539192
13,ghl_male_imm,4.86812253532522,55.142060719128395
14,ghl_male_imm,4.688539844219578,57.2190223024818
15,ghl_male_imm,4.4000822449123955,59.06896170965169
16,ghl_male_imm,4.005300085402311,60.6637533148875
17,ghl_male_imm,3.5270177140104724,61.986910411685464
18,ghl_male_imm,3.001508900888023,63.03934571946799
19,ghl_male_imm,2.469493485802131,63.83956512102236
20,ghl_male_imm,1.9673841595193349,64.42072545413625
3,ghl_male_mat,1.5840038766539353,25.111249883170824
4,ghl_male_mat,4.043902691133594,27.379003986570336
5,ghl_male_mat,4.517165806317258,32.24123516495019
6,ghl_male_mat,4.821050735061624,36.63554842439444
7,ghl_male_mat,5.003387911300892,40.59623394524823
8,ghl_male_mat,5.100895593263534,44.15057490699246
9,ghl_male_mat,5.155485460532021,47.34780453488804
10,ghl_male_mat,5.191913233256236,50.25473084379669
11,ghl_male_mat,5.211689858257947,52.929981035838296
12,ghl_male_mat,5.208886345598867,55.41024581133804
13,ghl_male_mat,5.1825858983387825,57.71715165983902
14,ghl_male_mat,5.137193593397454,59.86374415027444
15,ghl_male_mat,5.077758092284002,61.86417313930996
16,ghl_male_mat,5.007130086514525,63.73097235988701
17,ghl_male_mat,4.926574032865404,65.47453790803432
18,ghl_male_mat,4.836768100797589,67.10231911651448
19,ghl_male_mat,4.738756685862511,68.6194609429582
20,ghl_male_mat,4.634086091841091,70.03059726686514
21,ghl_male_mat,4.597279199219338,71.11046667530502
22,ghl_male_mat,4.460048648646823,72.38387758072317
23,ghl_male_mat,4.319025153673626,73.55915878006162
24,ghl_male_mat,4.176021263280541,74.64214786291086
25,ghl_male_mat,4.092670022923042,77.20561463991346
